id,srcip,srcmac,srcport,dstip,dstmac,dstport,protocol,packets,neighbors
52571,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52572,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52575,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.107,54:B2:03:8B:7F:3B,-1,1,1,-1
52576,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.107,54:B2:03:8B:7F:3B,-1,1,1,-1
52590,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52591,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52673,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.106,02:01:A6:C3:D8:5E,-1,1,1,-1
52674,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.106,02:01:A6:C3:D8:5E,-1,1,1,-1
52691,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
52692,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
52693,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52694,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52698,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52699,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52702,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52703,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52809,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52810,192.168.50.254,AC:F5:E6:D9:FE:E8,-1,192.168.50.45,64:00:6A:6E:20:01,-1,1,1,-1
52901,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
52902,192.168.50.115,B8:27:EB:69:78:1C,-1,192.168.50.218,00:80:F4:4C:CB:9E,-1,1,1,-1
52903,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52904,192.168.50.218,00:80:F4:4C:CB:9E,-1,192.168.50.115,B8:27:EB:69:78:1C,-1,1,1,-1
52907,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.191,BC:30:5B:B5:40:A4,-1,1,1,-1
52908,192.168.60.254,AC:F5:E6:D9:FE:C4,-1,192.168.60.191,BC:30:5B:B5:40:A4,-1,1,1,-1
52909,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
52910,192.168.60.5,00:E0:4C:DC:00:6A,-1,192.168.0.100,AC:F5:E6:D9:FE:C4,-1,1,1,-1
